sex,treatment,line,time,fwt_mg,dwt_mg,Hex_frac,p_hex_frac,Aq_frac,p_Aq_frac,Protein,Protein_ug_mg,Glycogen,Glycogen_ug_mg,Chitin,Chitin_mg_mg
m,P,2,2,1.089,0.359,0.023,6.4067,0.026,7.2423,31.6667,88.208,5.3636,14.9405,0.138,0.3844
m,P,2,2,1.023,0.346,0.028,8.0925,0.024,6.9364,23.0556,66.6346,8.1818,23.6469,0.067,0.1936
m,P,3,2,1.011,0.305,0.019,6.2295,0.051,16.7213,28.0556,91.9854,12.2727,40.2385,0.033,0.1082
m,P,3,2,1.095,0.294,0.011,3.7415,0.054,18.3673,21.3889,72.7513,12.0909,41.1255,0.015,0.051
m,P,3,2,1.067,0.357,0.023,6.4426,0.051,14.2857,33.8889,94.9269,16.2727,45.5819,0.072,0.2017
m,P,4,2,1.176,0.372,0.013,3.4946,0.049,13.172,33.0556,88.859,0.3636,0.9775,0.065,0.1747
m,P,4,2,1.094,0.374,0.023,6.1497,0.059,15.7754,25,66.8449,3.9091,10.4521,0.086,0.2299
m,P,4,2,0.996,0.365,0.039,10.6849,0.044,12.0548,29.4444,80.6697,4.4545,12.2042,0.09,0.2466
f,P,1,2,1.729,0.624,0.096,15.3846,0.08,12.8205,41.3889,66.3283,22.7273,36.4219,0.067,0.1074
f,P,1,2,1.527,0.563,0.091,16.1634,0.079,14.032,38.0556,67.5942,9.5455,16.9546,0.056,0.0995
f,P,1,2,1.688,0.643,0.084,13.0638,0.09,13.9969,34.7222,54.0003,28.2727,43.97,0.088,0.1369
f,P,2,2,1.544,0.549,0.051,9.2896,0.077,14.0255,39.7222,72.3538,24,43.7158,0.087,0.1585
f,P,2,2,1.664,0.558,0.038,6.81,0.072,12.9032,37.2222,66.7065,16.6364,29.8143,0.116,0.2079
f,P,2,2,1.828,0.66,0.062,9.3939,0.081,12.2727,48.3333,73.2323,12.5455,19.0083,0.125,0.1894
f,P,3,2,1.924,0.709,0.14,19.7461,0.093,13.1171,57.5,81.1001,20.4545,28.8499,0.092,0.1298
f,P,3,2,1.809,0.66,0.11,16.6667,0.079,11.9697,40.8333,61.8687,17.1818,26.0331,0.084,0.1273
f,P,3,2,1.87,0.676,0.124,18.3432,0.087,12.8698,49.4444,73.1427,11.7273,17.348,0.098,0.145
f,P,4,2,1.837,0.695,0.087,12.518,0.11,15.8273,32.5,46.7626,84.9091,122.1714,0.084,0.1209
f,P,4,2,1.866,0.677,0.09,13.2939,0.111,16.3959,41.6667,61.546,54.7273,80.8379,0.112,0.1654
f,P,4,2,1.825,0.711,0.093,13.0802,0.124,17.4402,46.3889,65.2446,38.3636,53.9573,0.121,0.1702
m,M,1,1,0.83,0.273,0.06,21.978,0.043,15.7509,12.6866,46.4709,9.2273,33.7995,0.012,0.044
m,M,1,1,0.9,0.317,0.039,12.3028,0.057,17.9811,17.4627,55.0873,11.9818,37.7975,0.031,0.0978
