Vial,Treatment,Replicate,Sex,Death_date,Death_time
18,P,R3,m,05/02/2017,22
18,P,R3,m,06/02/2017,6
19,P,R3,m,05/02/2017,18
19,P,R3,m,05/02/2017,22
19,P,R3,m,06/02/2017,12
20,P,R3,m,06/02/2017,4
20,P,R3,m,06/02/2017,6
20,P,R3,m,06/02/2017,12
21,P,R3,m,06/02/2017,6
21,P,R3,m,06/02/2017,8
21,P,R3,m,06/02/2017,14
22,P,R3,m,06/02/2017,6
22,P,R3,m,06/02/2017,6
22,P,R3,m,06/02/2017,12
13,M,R4,m,06/02/2017,0
13,M,R4,m,06/02/2017,8
13,M,R4,m,06/02/2017,14
14,M,R4,m,06/02/2017,14
14,M,R4,m,07/02/2017,0
14,M,R4,m,08/02/2017,0
15,M,R4,m,06/02/2017,22
15,M,R4,m,07/02/2017,12
15,M,R4,m,07/02/2017,12
16,M,R4,m,06/02/2017,0
16,M,R4,m,06/02/2017,18
16,M,R4,m,07/02/2017,0
17,M,R4,m,06/02/2017,0
17,M,R4,m,06/02/2017,4
17,M,R4,m,07/02/2017,10
18,M,R4,m,06/02/2017,4
18,M,R4,m,06/02/2017,12
18,M,R4,m,06/02/2017,12
19,M,R4,m,06/02/2017,8
19,M,R4,m,07/02/2017,0
19,M,R4,m,07/02/2017,12
20,M,R4,m,06/02/2017,10
20,M,R4,m,06/02/2017,12
20,M,R4,m,06/02/2017,18
21,M,R4,m,06/02/2017,0
21,M,R4,m,06/02/2017,8
21,M,R4,m,06/02/2017,22
22,M,R4,m,06/02/2017,10
22,M,R4,m,06/02/2017,22
22,M,R4,m,07/02/2017,20
13,P,R4,m,05/02/2017,20
13,P,R4,m,06/02/2017,2
13,P,R4,m,06/02/2017,8
14,P,R4,m,06/02/2017,4
14,P,R4,m,06/02/2017,4
14,P,R4,m,06/02/2017,8
15,P,R4,m,06/02/2017,2
15,P,R4,m,06/02/2017,2
15,P,R4,m,06/02/2017,6
16,P,R4,m,06/02/2017,6
16,P,R4,m,06/02/2017,6
16,P,R4,m,06/02/2017,10
17,P,R4,m,05/02/2017,20
17,P,R4,m,06/02/2017,4
17,P,R4,m,06/02/2017,4
18,P,R4,m,05/02/2017,20
18,P,R4,m,06/02/2017,0
18,P,R4,m,06/02/2017,2
19,P,R4,m,06/02/2017,6
19,P,R4,m,06/02/2017,6
19,P,R4,m,06/02/2017,10
20,P,R4,m,06/02/2017,6
20,P,R4,m,06/02/2017,22
20,P,R4,m,07/02/2017,4
21,P,R4,m,05/02/2017,22
21,P,R4,m,06/02/2017,0
21,P,R4,m,06/02/2017,20
22,P,R4,m,06/02/2017,6
22,P,R4,m,06/02/2017,8
22,P,R4,m,06/02/2017,16
