Treatment,Rep,Sex,Seed,Slide,Individual,Side,Area,Mean,Min,Max,Length
M,R3,F,C,1,2,L,19866.709,168.217,115.228,230.028,2382.362
M,R3,F,C,1,5,L,19036.045,181.773,97.4,235.37,2287.373
M,R4,F,A,2,4,L,19243.711,173.932,107.066,245.928,2306.9
M,R1,F,C,1,1,R,19312.933,173.708,100.036,222.835,2318.647
M,R3,F,C,3,3,R,18828.379,183.678,108.813,223.205,2255.327
M,R3,M,C,3,2,L,18066.938,183.682,121.707,230.852,2169.233
M,R2,F,B,2,2,L,19382.155,166.732,91.254,217.818,2325.504
M,R4,F,A,1,4,L,19797.487,176.137,93.351,224.264,2371.602
M,R4,M,A,2,2,R,17928.494,175.973,100.733,231.535,2146.699
M,R1,M,C,1,1,L,16820.942,183.041,108.052,235.361,2020.589
P,R4,F,C,1,3,L,19312.933,165.471,111.376,221.651,2320.199
M,R1,M,C,2,2,R,17167.052,177.289,95.328,216.158,2062.951
P,R4,F,C,3,4,L,19589.821,163.589,74.955,224.792,2353.274
M,R4,F,A,3,5,L,19589.821,164.431,98.716,227.326,2353.362
M,R2,F,B,2,3,L,19589.821,174.658,92.242,219.655,2346.705
M,R3,M,C,2,5,L,17167.052,169.989,88.781,212.268,2060.819
P,R4,F,C,2,4,R,19243.711,167.144,85.371,222.86,2304.978
M,R3,F,C,3,2,R,19243.711,170.704,92.238,231.6,2305.594
M,R2,F,B,3,4,L,18759.157,162.998,84.686,222.939,2251.779
P,R4,F,C,1,2,L,19382.155,177.584,113.07,231.265,2329.192
P,R4,M,C,2,2,L,16890.164,178.664,110.882,223.152,2025.021
P,R4,F,C,1,1,R,19312.933,166.766,80.009,220.055,2316.362
M,R4,M,A,1,5,L,17928.494,177.292,103.244,225.463,2150.677
M,R3,F,C,3,5,L,19382.155,152.675,102.478,218.499,2322.287
P,R4,F,C,2,5,L,17997.716,171.421,117.706,215.625,2162.329
M,R4,M,A,2,5,L,17097.83,166.217,77.158,224.123,2050.853
M,R1,M,C,2,4,L,17167.052,168.501,103.515,219.773,2055.64
P,R4,M,C,2,3,L,16820.942,182.906,102.251,230.201,2015.513
M,R3,M,C,3,1,R,17997.716,167.497,73.333,218.211,2155.387
M,R3,M,C,3,4,L,17859.272,163.365,85.677,228.7,2139.852
M,R1,F,C,2,2,L,18828.379,175.791,78.466,228.594,2261.473
P,R4,F,C,3,3,L,19105.267,185.548,116.079,224.466,2295.846
M,R1,F,C,1,3,L,19036.045,170.399,84.163,221.532,2283.269
M,R2,F,B,3,5,L,19520.599,151.423,75.158,199.788,2344.182
P,R4,F,C,2,2,R,19451.377,172.24,84.931,231.647,2334.357
M,R4,M,A,1,1,L,17513.162,163.568,97.23,214.033,2096.716
M,R4,F,A,3,1,L,20005.153,177.563,102.852,225.242,2397.034
M,R3,F,C,3,4,R,19382.155,176.488,102.898,236.585,2324.194
M,R1,M,C,2,5,L,16890.164,181.446,129.769,221.821,2028.607
M,R4,M,A,1,2,R,17928.494,157.531,83.39,222.628,2153.251
P,R4,F,C,2,1,L,19243.711,159.754,88.98,215.653,2307.2
P,R4,M,C,1,1,L,17097.83,192.002,132,237.548,2054.832
P,R4,M,C,3,1,L,17651.606,171.201,72.073,220.661,2120.598
M,R1,F,C,2,5,L,18966.823,166.182,76.436,214.234,2274.52
M,R4,M,A,3,4,R,17651.606,158.028,86.652,220.313,2119.243
M,R2,F,B,3,3,L,18966.823,158.174,93.684,214.433,2273.196
M,R1,F,C,1,2,L,18966.823,170.351,96.248,221.146,2275.753
M,R4,M,A,1,3,L,17997.716,170.421,96.579,225.808,2156.174
P,R4,F,C,1,5,R,18966.823,179.138,110.422,221.618,2272.328
M,R1,M,C,2,1,R,17097.83,159.191,79.429,222.675,2050.194
P,R4,F,C,3,5,R,20212.819,177.659,99.854,232.921,2421.813
M,R3,M,C,1,1,L,17305.496,175.076,86.443,234.112,2072.409
P,R4,M,C,2,5,L,17582.384,179.705,103.762,229.352,2111.406
M,R1,M,C,3,1,L,16890.164,174.354,98.184,217.295,2024.645
M,R2,M,B,3,2,L,16890.164,183.105,118.665,225.668,2024.337
M,R4,F,A,3,4,R,19451.377,172.615,93.793,233.631,2335.128
M,R2,M,B,3,5,R,17997.716,158.121,78.233,215.844,2161.433
M,R2,M,B,3,4,L,17513.162,168.972,115.888,231.843,2103.029
M,R3,M,C,1,3,L,17305.496,171.396,109.101,224.434,2071.824
P,R4,M,C,1,2,L,16405.61,163.687,81.42,217.737,1968.32
M,R3,M,C,2,3,L,17167.052,176.91,92.232,223.351,2055.64
M,R3,F,C,3,1,L,19036.045,183.331,127.738,223.132,2284.284
M,R3,M,C,2,4,L,17651.606,177.986,120.293,225.566,2115.631
M,R1,M,C,1,4,L,17097.83,174.425,98.744,232.256,2050.431
M,R2,F,B,3,2,R,19174.489,145.408,69.714,213.568,2301.988
P,R4,F,C,3,1,R,19312.933,168.048,108.167,222.625,2315.899
M,R3,M,C,3,5,L,17651.606,178.737,121.191,237.642,2114.076
M,R3,F,C,2,5,R,19243.711,174.274,98.529,222.384,2305.534
P,R4,M,C,1,3,R,16405.61,174.731,107.356,223.609,1964.149
M,R3,M,C,3,3,L,17513.162,180.066,116.957,237.256,2101.646
M,R2,F,B,2,4,R,18689.936,156.713,83.97,229.459,2246.116
M,R3,M,C,1,2,L,17582.384,160.794,100.665,213.129,2110.34
M,R3,F,C,2,4,L,19589.821,166.637,73.484,230.155,2346.838
M,R1,M,C,1,2,L,13982.841,180.897,130.563,224.2,1677.605
P,R4,F,C,2,3,R,19312.933,172.373,85.908,234.049,2319.02
M,R3,F,C,1,3,L,19659.043,168.524,101.879,211.999,2354.612
M,R3,M,C,1,5,L,17997.716,168.852,102.435,223.465,2161.945
P,R4,M,C,3,4,L,17305.496,172.31,115.286,216.54,2078.396
M,R1,M,C,2,3,L,17305.496,168.139,89.998,217.474,2075.88
M,R3,F,C,2,1,L,19728.265,176.117,95.117,234.39,2363.722
M,R4,M,A,3,2,L,17720.828,171.495,102.766,227.558,2125.88
M,R4,F,A,1,2,L,19797.487,151.97,85.7,207.185,2376.194
M,R3,M,C,2,2,L,17443.94,179.133,123.6,232.421,2095.924
M,R4,M,A,2,4,L,17513.162,173.459,93.069,232.561,2097.64
M,R4,F,A,3,2,L,19312.933,170.962,102.636,227.077,2316.736
M,R1,M,C,1,3,L,16405.61,175.547,94.138,224.826,1968.531
M,R4,F,A,3,3,L,19589.821,169.319,86.309,231.117,2348.017
M,R2,F,B,2,1,R,18897.601,169.848,76,231.924,2263.171
P,R4,M,C,3,3,R,17928.494,178.223,110.223,225.172,2146.812
P,R4,M,C,2,4,L,16474.832,174.951,121.379,222.127,1972.536
M,R4,F,A,2,1,L,18966.823,172.589,116.876,232.327,2277.136
M,R1,M,C,1,5,R,16959.386,172.026,89.708,219.781,2035.403
M,R4,F,A,2,2,L,19866.709,170.236,90.665,230.653,2383.713
M,R4,M,A,1,4,L,17374.718,164.487,103.506,210.334,2085.378
M,R1,F,C,1,4,R,19174.489,146.564,72.133,213.212,2297.338
M,R4,M,A,3,3,L,17859.272,170.109,91.118,233.496,2139.027
M,R1,M,C,3,4,L,17236.274,178.582,95.615,234.607,2065.801
M,R4,F,A,1,3,L,19589.821,161.821,58.831,220.117,2347.147
M,R3,M,C,1,4,L,17997.716,157.017,86.981,212.385,2160.952
M,R4,F,A,1,5,L,19382.155,186.72,118.093,230.485,2322.227
M,R3,F,C,2,3,R,19520.599,170.983,91.207,238.807,2340.044
P,R4,F,C,3,2,R,18551.492,175.125,105.282,224.374,2222.866
P,R4,M,C,3,5,R,17443.94,174.663,104.612,232.808,2093.214
M,R4,M,A,2,1,L,17651.606,162.205,90.961,214.453,2117.462
M,R2,F,B,2,5,L,18828.379,177.878,104.152,224.191,2260.11
M,R1,F,C,2,3,L,19451.377,169.987,71.071,221.43,2336.136
P,R4,M,C,1,4,L,16959.386,172.428,94.91,228.204,2034.995
M,R1,F,C,2,4,L,19589.821,173.598,91,225.81,2352.097
M,R1,M,C,3,3,R,17513.162,157.31,74.968,206.716,2102.206
P,R4,M,C,3,2,L,17305.496,168.511,107.982,216.452,2075.429
M,R4,F,A,2,5,L,19105.267,171.145,105.721,220.304,2295.167
M,R3,F,C,1,1,L,18759.157,173.997,98.285,231.876,2248.257
M,R3,F,C,2,2,L,20074.375,159.463,88.838,220.299,2405.897
M,R2,M,B,3,1,R,18066.938,163.583,64.333,220.437,2165.257
M,R3,M,C,2,1,L,17651.606,187.666,115.719,237.366,2119.096
M,R1,M,C,3,5,L,17513.162,174.725,100.556,232.207,2097.69
P,R4,M,C,2,1,R,17790.05,166.497,93.72,242.506,2134.394
M,R2,M,B,3,3,L,17582.384,149.175,77.47,212.687,2112.897
M,R2,F,B,3,1,L,19105.267,156.65,92.059,221.431,2290.548
M,R1,M,C,3,2,R,17028.608,168.664,97.469,224.367,2043.126
M,R4,M,A,2,3,R,17513.162,174.989,88.506,236.538,2099.141
M,R4,M,A,3,1,R,17790.05,170.341,88.634,217.967,2134.07
P,R4,M,B,3,2,R,17658.702,178.812,134.303,226.485,2120.763
P,R4,M,B,3,1,L,17104.704,181.993,122.7,219.381,2047.142
P,R4,F,B,2,3,L,18489.7,187.318,133.406,228.012,2219.557
P,R4,F,B,3,4,R,18143.451,194.236,135.306,232.565,2172.731
P,R4,F,B,2,2,L,18558.95,187.329,130.667,223.52,2221.989
P,R4,F,B,3,5,L,19805.446,170.333,110.868,222.402,2375.112
P,R4,F,B,2,1,R,18697.449,187.253,109.951,227.091,2242.418
P,R4,F,B,3,2,R,19459.197,183.111,114.022,232.357,2337.094
P,R4,M,B,3,5,L,17727.952,181.778,128.819,215.374,2125.281
P,R4,M,B,3,3,L,17935.702,176.3,96.333,231.333,2146.985
P,R4,F,B,2,5,R,19528.447,178.103,95.821,226.969,2343.412
P,R4,F,B,3,1,L,19182.198,175.897,119.602,227.352,2298.101
P,R4,M,B,3,4,L,17450.953,175.601,123.781,217.756,2094.362
P,R4,F,B,2,4,R,18835.949,178.74,112.216,220.637,2261.07
P,R4,F,B,3,3,L,18558.95,187.033,136.38,227.807,2222.643
M,R1,F,C,3,3,L,19234.775,171.063,95.572,216.812,2303.073
M,R3,M,B,1,3,L,16873.828,169.509,104.466,226.994,2021.085
M,R3,M,B,1,5,L,17359.906,165.29,97.393,213.702,2078.823
M,R3,F,B,1,3,L,19165.336,173.098,120.857,220.03,2291.723
M,R1,F,C,3,2,L,18887.577,161.073,73.225,230.112,2265.025
M,R3,F,B,1,2,L,19026.456,165.195,108.308,215.168,2281.489
M,R3,M,B,1,2,L,17707.104,160.384,104.576,213.803,2122.065
M,R3,F,B,1,1,R,19373.655,169.44,99,224.762,2319.297
M,R3,M,B,1,1,L,17568.224,166.953,113.944,217.853,2105.112
M,R3,F,B,1,5,L,18818.138,166.833,86.607,219.002,2251.788
M,R3,M,B,1,4,L,17151.587,178.095,125.968,227.916,2052.705
M,R1,F,C,3,5,L,19581.973,163.246,83.52,220.801,2343.734
M,R1,F,C,3,4,R,19304.215,161.781,61.876,215.21,2314.622
M,R1,F,C,3,1,R,19026.456,160.5,81.666,236.368,2277.118
M,R3,F,B,1,4,L,19373.655,163.658,98.977,211.077,2316.721
P,R3,F,A,1,1,L,20554.921,156.955,93.113,200.214,2461.739
P,R2,M,A,1,4,R,18054.998,160.587,94.9,204.654,2161.017
P,R1,M,A,1,3,R,17777.229,148.706,78.328,205.675,2126.274
P,R1,F,A,2,5,L,19374.402,157.519,87.394,203.659,2322.618
P,R1,M,A,3,5,L,18054.998,142.709,90.661,185.23,2163.442
P,R1,F,A,3,2,L,19027.191,148.961,75.524,195.385,2276.201
P,R2,M,A,1,5,L,17985.556,158.466,122.437,189.828,2152.565
P,R3,M,A,1,4,L,18054.998,159.028,110.738,202.859,2158.879
P,R2,F,A,2,4,L,20207.71,138.986,71.838,195.219,2423.645
P,R1,M,A,2,1,L,17430.018,157.916,94.984,190.098,2084.967
P,R1,F,A,3,5,L,19721.614,146.897,97.451,188.972,2359.725
P,R2,M,A,2,4,L,18332.768,156.744,118.897,199.371,2196.76
P,R2,F,A,3,5,L,20346.594,157.356,99.735,194.333,2435.35
P,R1,F,A,1,3,L,19096.633,155.867,87.769,193.8,2285.32
P,R1,M,A,2,2,L,17430.018,161.7,104,214,2083.301
P,R2,M,A,2,3,L,17985.556,156.951,108.806,194.766,2157.801
P,R3,M,A,1,2,R,18332.768,153.407,92.935,204.633,2192.536
P,R1,F,A,2,3,R,19235.517,161.366,96.881,201.937,2301.851
P,R1,F,A,1,1,R,18888.306,157.899,98.702,200.921,2258.683
P,R1,F,A,2,2,L,19860.498,150.938,87.895,194.323,2379.053
P,R2,F,A,1,4,L,19999.383,165.222,133.87,198.699,2394.082
P,R2,F,A,3,3,L,19999.383,163.21,124.04,199.572,2396.865
P,R2,F,A,1,1,L,20138.267,156.672,106.366,213.159,2416.586
P,R1,F,A,1,4,L,18679.979,158.426,93.101,198.663,2237.353
P,R2,M,A,3,5,L,17638.344,158.12,109.636,199.451,2115.797
P,R1,F,A,2,4,L,19513.287,153.641,81.808,190.979,2338.366
P,R1,M,A,2,5,L,17777.229,165.759,117.151,204.81,2132.275
P,R2,M,A,1,2,L,18054.998,166.609,130,198.744,2166.152
P,R1,M,A,3,4,L,17291.133,154.168,97.941,199.919,2073.83
P,R2,F,A,2,3,L,19860.498,154.436,90.81,207.366,2378.25
P,R2,M,A,2,5,L,17916.114,166.179,126.562,197.377,2146.88
P,R3,M,A,1,5,L,18888.306,160.249,97.25,208.112,2258.806
P,R3,M,A,2,5,L,18679.979,154.529,116.199,195.365,2236.344
P,R1,M,A,1,5,L,17499.46,152.159,87.339,201.612,2093.111
P,R1,F,A,3,1,R,19027.191,154.978,88.243,200.6,2279.844
P,R3,M,A,2,4,L,18332.768,146.557,108.166,192.552,2198.277
P,R2,F,A,3,1,R,19513.287,156.842,97.63,200.199,2335.974
P,R1,M,A,3,2,L,17291.133,152.638,102.354,191.899,2074.299
P,R1,M,A,2,4,R,17985.556,155.101,91.667,203.697,2155.612
P,R3,M,A,2,1,L,17985.556,151.62,106.566,201.813,2151.581
P,R2,M,A,3,4,L,17777.229,155.887,105.935,204.255,2129.537
P,R1,M,A,3,1,L,17360.575,156.588,115.11,196.455,2081.767
P,R2,F,A,3,4,L,20346.594,150.992,91.369,195.929,2433.595
P,R2,M,A,3,3,R,18541.094,165.823,128,212.537,2218.339
P,R3,M,A,1,1,L,17916.114,161.242,115.431,208.142,2144.372
P,R1,F,A,3,3,L,19652.171,138.174,72.818,186.954,2350.156
P,R2,F,A,2,1,R,20207.71,147.942,78.866,201.073,2417.276
P,R2,M,A,1,3,R,18124.441,157.245,111.85,198.038,2173.162
P,R1,F,A,3,4,L,18888.306,155.42,89.663,192.11,2259.59
P,R1,F,A,1,5,L,19235.517,156.165,114.041,191.389,2300.81
P,R1,M,A,1,1,L,17152.248,160.131,70.344,228.298,2051.814
P,R1,M,A,1,4,L,16874.479,152.176,69.517,211.992,2018.443
P,R1,M,A,3,3,R,17568.902,153.984,108.759,196.712,2105.549
P,R2,M,A,3,2,L,17985.556,154.221,117.81,198.307,2156.675
P,R2,M,A,2,2,L,18193.883,152.909,110.274,201.044,2175.365
P,R3,M,A,2,2,L,18332.768,156.9,118.12,196.712,2191.886
P,R2,F,A,1,3,L,19513.287,145.356,85.197,182.778,2338.366
P,R2,M,A,3,1,L,18402.21,151.209,106.743,189.507,2203.246
